I stay up to date on current political topics and issues.,I have developed opinions on political issues and topics.,I am comfortable starting a discussion about political issues with my friends.,I know enough information about politics and political issues to talk about them with people I don’t know very well.,"On average, approximately how many minutes per day do you spend on Facebook?-Minutes Per Day on Facebook",Approximately how many Facebook friends do you have?-Number of Facebook Friends,"On average, how many days per week do you read a newspaper or news magazine?","On average, how many days per week do you watch television news?",What is your age?-Years (Age),What is your sex?,What is your race/ethnicity?
pie1,pie2,pie3,pie4,fbtime,fbfriends,news,tv,age,sex,race
1,3,2,1,16,931,1,1,18,Male,White
2,4,4,2,15,1177,1,3,18,Male,White
4,4,3,4,60,1181,2,2,21,Male,Black
2,3,2,1,27,391,2,1,20,Male,White
3,3,3,2,58,699,7,2,18,Male,Hispanic/Latino
3,4,2,2,89,788,2,2,18,Male,White
1,1,1,1,29,790,3,1,19,Male,White
4,4,4,3,15,600,7,3,20,Male,White
1,1,1,1,60,370,1,1,18,Male,White
4,3,4,4,17,330,5,1,18,Male,White
2,4,2,3,14,791,1,1,20,Male,White
3,4,4,3,180,501,2,3,18,Male,White
2,4,1,1,15,302,1,1,19,Male,White
3,4,4,2,30,289,1,3,18,Male,White
4,5,2,3,53,995,1,4,20,Male,White
4,3,4,2,10,582,5,1,18,Male,White
3,3,3,4,74,800,5,2,19,Male,Other
4,4,4,3,27,276,3,1,22,Male,White
2,4,4,2,11,1204,3,5,19,Male,White
1,1,1,1,85,747,1,1,18,Male,White
4,4,4,4,68,1638,1,3,19,Male,White
2,4,2,3,3,2000,1,4,18,Male,White
4,4,2,2,15,380,1,3,18,Male,Black
3,4,4,2,45,601,1,1,20,Male,Other
2,4,3,2,17,626,1,1,20,Male,Native American
2,4,4,2,42,407,3,1,18,Male,White
2,4,2,2,180,365,1,2,19,Male,Multiracial
4,4,3,3,23,391,2,1,24,Male,White
3,2,3,1,22,2000,6,7,20,Male,White
2,4,3,2,60,1400,3,2,19,Male,White
4,4,4,4,15,1056,2,4,19,Male,White
5,5,5,4,20,200,4,7,22,Male,White
2,4,1,1,120,362,1,1,22,Male,White
3,4,4,2,40,881,4,1,19,Male,White
4,4,4,4,211,673,3,2,18,Male,Asian
2,4,1,1,18,1186,2,3,19,Male,Multiracial
4,5,4,3,89,1002,3,5,18,Male,White
4,4,5,5,27,1186,3,7,20,Male,White
4,4,4,2,90,233,3,2,22,Male,White
4,4,4,2,58,1937,2,3,18,Male,White
3,3,3,3,87,175,3,3,20,Male,Other
2,2,4,4,46,2000,1,1,20,Male,White
2,4,3,4,88,392,3,3,19,Male,White
4,4,4,4,58,1093,4,4,18,Male,White
1,1,1,1,30,468,1,1,18,Male,White
4,4,4,3,10,201,2,2,18,Male,White
3,3,1,2,17,655,2,2,18,Male,White
